sequence,mean,worst,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,prob_catastrophic,prob_degraded,prob_shortage,viol_catastrophic,viol_degraded,viol_shortage,violation_score,feasible
reboot_D|reboot_B|reboot_B,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_B|reboot_C,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_B|reboot_D,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_C|noop,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_C|reboot_A,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_C|reboot_B,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_C|reboot_C,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_C|reboot_D,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_D|noop,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_D|reboot_A,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_D|reboot_B,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_D|reboot_C,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_D|reboot_D,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
