seq,mean,cvar05,cvar25,distorted_ordered,prob_catastrophic,prob_degraded,prob_shortage,feasible,losses_json,probs_json
sample_r1|sample_r1|move|check_r1|sample_r1,572.5,1145.0,1145.0,362.9419530081086,0.5,0.5,0.0,True,"[0.0, 1145.0, 0.0, 1145.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|check_r1|sample_r2,482.5,1145.0,1145.0,301.51247474524286,0.5,0.25,0.0,True,"[0.0, 785.0, 0.0, 1145.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|check_r1|move,517.5,1035.0,1035.0,328.07416712960037,0.5,0.5,0.0,True,"[0.0, 1035.0, 0.0, 1035.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|check_r2|check_r1,520.0,1040.0,1040.0,329.65906648771437,0.5,0.5,0.0,True,"[0.0, 1040.0, 0.0, 1040.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|check_r2|check_r2,520.0,1040.0,1040.0,329.65906648771437,0.5,0.5,0.0,True,"[0.0, 1040.0, 0.0, 1040.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|check_r2|sample_r1,572.5,1145.0,1145.0,362.9419530081086,0.5,0.5,0.0,True,"[0.0, 1145.0, 0.0, 1145.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|check_r2|sample_r2,482.5,1145.0,1145.0,301.51247474524286,0.5,0.25,0.0,True,"[0.0, 785.0, 0.0, 1145.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|check_r2|move,517.5,1035.0,1035.0,328.07416712960037,0.5,0.5,0.0,True,"[0.0, 1035.0, 0.0, 1035.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|sample_r1|check_r1,572.5,1145.0,1145.0,362.9419530081086,0.5,0.5,0.0,True,"[0.0, 1145.0, 0.0, 1145.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|sample_r1|check_r2,572.5,1145.0,1145.0,362.9419530081086,0.5,0.5,0.0,True,"[0.0, 1145.0, 0.0, 1145.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|sample_r1|sample_r1,625.0,1250.0,1250.0,396.22483952850286,0.5,0.5,0.0,True,"[0.0, 1250.0, 0.0, 1250.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|sample_r1|sample_r2,535.0,1250.0,1250.0,334.7953612656371,0.5,0.25,0.0,True,"[0.0, 890.0, 0.0, 1250.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|sample_r1|move,570.0,1140.0,1140.0,361.3570536499946,0.5,0.5,0.0,True,"[0.0, 1140.0, 0.0, 1140.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|sample_r2|check_r1,482.5,1145.0,1145.0,301.51247474524286,0.5,0.25,0.0,True,"[0.0, 785.0, 0.0, 1145.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|sample_r2|check_r2,482.5,1145.0,1145.0,301.51247474524286,0.5,0.25,0.0,True,"[0.0, 785.0, 0.0, 1145.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|sample_r2|sample_r1,535.0,1250.0,1250.0,334.7953612656371,0.5,0.25,0.0,True,"[0.0, 890.0, 0.0, 1250.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|sample_r2|sample_r2,657.5,1250.0,1250.0,450.05537984189067,0.75,0.25,0.0,False,"[690.0, 690.0, 0.0, 1250.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|sample_r2|move,480.0,1140.0,1140.0,299.92757538712885,0.5,0.25,0.0,True,"[0.0, 780.0, 0.0, 1140.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|move|check_r1,517.5,1035.0,1035.0,328.07416712960037,0.5,0.5,0.0,True,"[0.0, 1035.0, 0.0, 1035.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|move|check_r2,517.5,1035.0,1035.0,328.07416712960037,0.5,0.5,0.0,True,"[0.0, 1035.0, 0.0, 1035.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|move|sample_r1,570.0,1140.0,1140.0,361.3570536499946,0.5,0.5,0.0,True,"[0.0, 1140.0, 0.0, 1140.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|move|sample_r2,480.0,1140.0,1140.0,299.92757538712885,0.5,0.25,0.0,True,"[0.0, 780.0, 0.0, 1140.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r1|move|move|move,515.0,1030.0,1030.0,326.4892677714863,0.5,0.5,0.0,True,"[0.0, 1030.0, 0.0, 1030.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|check_r1|check_r1,371.25,1135.0,1135.0,233.84834796411087,0.25,0.25,0.75,True,"[175.0, 175.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|check_r1|check_r2,371.25,1135.0,1135.0,233.84834796411087,0.25,0.25,0.75,True,"[175.0, 175.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|check_r1|sample_r1,530.0,1240.0,1240.0,331.6255625494091,0.5,0.25,0.5,True,"[0.0, 880.0, 0.0, 1240.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|check_r1|sample_r2,530.0,1240.0,1240.0,331.6255625494091,0.5,0.25,0.5,True,"[880.0, 0.0, 0.0, 1240.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|check_r1|move,300.0,1040.0,1040.0,183.16741506210923,0.25,0.25,0.0,True,"[80.0, 80.0, 0.0, 1040.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|check_r2|check_r1,371.25,1135.0,1135.0,233.84834796411087,0.25,0.25,0.75,True,"[175.0, 175.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|check_r2|check_r2,371.25,1135.0,1135.0,233.84834796411087,0.25,0.25,0.75,True,"[175.0, 175.0, 0.0, 1135.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|check_r2|sample_r1,530.0,1240.0,1240.0,331.6255625494091,0.5,0.25,0.5,True,"[0.0, 880.0, 0.0, 1240.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|check_r2|sample_r2,530.0,1240.0,1240.0,331.6255625494091,0.5,0.25,0.5,True,"[880.0, 0.0, 0.0, 1240.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|check_r2|move,300.0,1040.0,1040.0,183.16741506210923,0.25,0.25,0.0,True,"[80.0, 80.0, 0.0, 1040.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|sample_r1|check_r1,530.0,1240.0,1240.0,331.6255625494091,0.5,0.25,0.5,True,"[0.0, 880.0, 0.0, 1240.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|sample_r1|check_r2,530.0,1240.0,1240.0,331.6255625494091,0.5,0.25,0.5,True,"[0.0, 880.0, 0.0, 1240.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|sample_r1|sample_r1,582.5,1345.0,1345.0,364.9084490698033,0.5,0.25,0.5,True,"[0.0, 985.0, 0.0, 1345.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|sample_r1|sample_r2,683.75,1345.0,1345.0,465.8936162433845,0.75,0.25,0.25,False,"[695.0, 695.0, 0.0, 1345.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|sample_r1|move,482.5,1145.0,1145.0,301.51247474524286,0.5,0.25,0.0,True,"[0.0, 785.0, 0.0, 1145.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|sample_r2|check_r1,530.0,1240.0,1240.0,331.6255625494091,0.5,0.25,0.5,True,"[880.0, 0.0, 0.0, 1240.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|sample_r2|check_r2,530.0,1240.0,1240.0,331.6255625494091,0.5,0.25,0.5,True,"[880.0, 0.0, 0.0, 1240.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|sample_r2|sample_r1,683.75,1345.0,1345.0,465.8936162433845,0.75,0.25,0.25,False,"[695.0, 695.0, 0.0, 1345.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|sample_r2|sample_r2,582.5,1345.0,1345.0,364.9084490698033,0.5,0.25,0.5,True,"[985.0, 0.0, 0.0, 1345.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|sample_r2|move,482.5,1145.0,1145.0,301.51247474524286,0.5,0.25,0.0,True,"[785.0, 0.0, 0.0, 1145.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|move|check_r1,300.0,1040.0,1040.0,183.16741506210923,0.25,0.25,0.0,True,"[80.0, 80.0, 0.0, 1040.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|move|check_r2,300.0,1040.0,1040.0,183.16741506210923,0.25,0.25,0.0,True,"[80.0, 80.0, 0.0, 1040.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|move|sample_r1,482.5,1145.0,1145.0,301.51247474524286,0.5,0.25,0.0,True,"[0.0, 785.0, 0.0, 1145.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|move|sample_r2,482.5,1145.0,1145.0,301.51247474524286,0.5,0.25,0.0,True,"[785.0, 0.0, 0.0, 1145.0]","[0.25, 0.25, 0.25, 0.25]"
sample_r1|sample_r2|check_r1|move|move,296.25,1035.0,1035.0,180.49999754095126,0.25,0.25,0.0,True,"[75.0, 75.0, 0.0, 1035.0]","[0.25, 0.25, 0.25, 0.25]"
